예보시각,관광기후지수,관광기후지수등급,평균기온,최고기온,최고기온시각,최저기온,최저기온시각,일교차,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각,일조합,일조율,일사합,평균습도(%rh),최저습도(%rh),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),최대순간풍속(m/s),최대순간풍속풍향(deg),최대순간풍속시각,최대풍속시각,year_month_day,year_month,month_day,year,month,date,day
2020-04-14,0.2148000000000001,3.0,13.0,19.6,1351,7.6,631,12.0,0.0,0.0,0,12.1,92.4,25.93,46.8,23.0,2.4,5.3,270.0,10.0,250.0,1437,1501,20200414,202004,414,2020,4,14,Tuesday
2020-04-15,0.3132,3.2,13.2,20.2,1510,7.2,609,13.0,0.0,0.0,0,10.0,75.8,21.49,39.8,25.0,2.2,5.6,290.0,9.2,290.0,1528,1645,20200415,202004,415,2020,4,15,Wednesday
2020-04-16,0.3048,3.08,16.0,23.8,1535,8.9,353,14.9,0.0,0.0,0,10.6,80.3,22.96,39.9,23.0,2.3,4.5,320.0,8.0,320.0,1753,1800,20200416,202004,416,2020,4,16,Thursday
2020-04-17,-0.8472,1.0,12.5,15.4,201,10.4,959,5.0,6.5,3.9,1238,0.3,2.3,4.23,77.8,45.0,2.4,4.8,140.0,9.4,160.0,820,828,20200417,202004,417,2020,4,17,Friday
2020-04-18,-0.15999999999999998,2.0,13.5,19.6,1455,8.5,632,11.1,0.0,0.0,0,10.4,78.2,23.09,67.9,44.0,2.6,4.8,270.0,8.0,290.0,1636,1656,20200418,202004,418,2020,4,18,Saturday
2020-04-19,-0.588,1.0,12.3,15.5,1332,9.5,2300,6.0,10.3,2.9,1712,0.3,2.3,5.25,75.8,51.0,2.7,5.2,90.0,8.6,70.0,2044,2037,20200419,202004,419,2020,4,19,Sunday
2020-04-20,-0.6428,1.0,10.0,13.1,1059,7.6,2353,5.5,0.1,0.1,0,1.3,9.7,7.34,73.0,56.0,3.3,6.8,270.0,14.2,270.0,1626,1621,20200420,202004,420,2020,4,20,Monday
2020-04-21,-0.6188000000000002,1.0,7.4,10.4,1418,4.8,2257,5.6,0.0,0.0,0,10.1,75.4,23.63,49.0,29.0,4.4,8.9,290.0,17.0,230.0,1435,1739,20200421,202004,421,2020,4,21,Tuesday
2020-04-22,-0.48119999999999996,1.0,6.0,8.3,1405,4.1,550,4.2,0.0,0.0,0,5.3,39.6,15.89,46.8,35.0,4.0,6.4,290.0,12.5,290.0,1145,1325,20200422,202004,422,2020,4,22,Wednesday
2020-04-23,-0.26639999999999986,1.0,7.9,12.8,1456,2.9,543,9.9,0.0,0.0,0,11.8,87.4,25.72,47.8,28.0,3.7,7.9,250.0,12.9,320.0,1223,1535,20200423,202004,423,2020,4,23,Thursday
2020-04-24,-0.15559999999999996,2.0,9.9,14.3,1409,4.1,612,10.2,0.0,0.0,0,12.0,88.9,26.61,55.6,29.0,3.9,8.2,270.0,16.0,250.0,1303,1303,20200424,202004,424,2020,4,24,Friday
2020-04-25,-0.07680000000000003,2.0,13.1,17.1,1447,9.9,1,7.2,0.0,0.0,0,8.5,62.5,18.9,54.4,45.0,3.9,7.8,250.0,15.0,230.0,1050,1050,20200425,202004,425,2020,4,25,Saturday
2020-04-26,-0.08560000000000002,2.0,12.3,19.0,1527,6.8,612,12.2,0.0,0.0,0,12.5,91.9,28.36,43.1,20.0,3.2,6.5,290.0,10.8,290.0,1730,1714,20200426,202004,426,2020,4,26,Sunday
2020-04-27,-0.12479999999999998,2.0,12.9,18.3,1419,8.7,516,9.6,0.0,0.0,0,9.7,71.3,22.98,49.8,25.0,2.8,5.5,290.0,11.2,270.0,1620,1541,20200427,202004,427,2020,4,27,Monday
2020-04-28,0.20440000000000003,2.96,13.9,19.9,1447,7.8,555,12.1,0.0,0.0,0,12.6,92.0,26.97,50.0,26.0,3.0,5.5,230.0,10.0,250.0,1456,1204,20200428,202004,428,2020,4,28,Tuesday
2020-04-29,0.2124000000000001,3.0,14.9,21.0,1333,9.3,559,11.7,0.0,0.0,0,12.2,89.1,26.1,48.6,25.0,2.6,5.2,320.0,8.6,290.0,1349,1412,20200429,202004,429,2020,4,29,Wednesday
2020-04-30,0.35359999999999997,3.52,17.1,23.4,1459,9.3,553,14.1,0.0,0.0,0,8.2,59.9,24.03,57.1,41.0,2.7,5.9,290.0,10.0,230.0,2236,1517,20200430,202004,430,2020,4,30,Thursday
2020-05-01,0.43119999999999997,4.0,20.2,26.2,1450,16.4,301,9.8,0.0,0.0,0,6.1,44.2,18.96,73.6,54.0,2.7,5.5,290.0,9.9,290.0,1752,1726,20200501,202005,501,2020,5,1,Friday
2020-05-02,0.11520000000000002,2.36,20.3,23.9,1500,18.0,328,5.9,0.0,0.0,0,0.2,1.4,9.43,79.6,62.0,2.3,4.6,230.0,7.6,290.0,1437,111,20200502,202005,502,2020,5,2,Saturday
2020-05-03,0.08720000000000003,2.12,21.8,27.4,1459,17.0,520,10.4,0.0,0.0,0,5.9,42.8,19.41,68.8,46.0,2.0,3.9,160.0,7.2,140.0,1224,1242,20200503,202005,503,2020,5,3,Sunday
2020-05-04,0.26679999999999987,3.0,20.2,25.3,1358,14.8,2359,10.5,0.0,0.0,0,10.1,72.7,25.42,63.9,44.0,2.7,4.6,270.0,8.7,270.0,1317,1247,20200504,202005,504,2020,5,4,Monday
2020-05-05,-0.31679999999999997,1.12,16.0,19.3,1211,13.1,519,6.2,0.0,0.0,0,3.3,23.7,9.41,67.9,54.0,1.9,5.3,250.0,8.8,230.0,1346,1354,20200505,202005,505,2020,5,5,Tuesday
2020-05-06,0.5223999999999998,4.0,19.4,27.6,1546,11.1,546,16.5,0.0,0.0,0,12.8,92.1,28.51,50.0,19.0,2.1,4.4,320.0,8.0,20.0,1538,1623,20200506,202005,506,2020,5,6,Wednesday
2020-05-07,0.5119999999999998,4.0,20.7,26.5,1419,14.9,541,11.6,0.0,0.0,0,8.7,62.1,23.93,32.5,20.0,2.5,4.3,90.0,9.5,140.0,930,319,20200507,202005,507,2020,5,7,Thursday
2020-05-08,0.08000000000000003,2.04,19.9,27.3,1423,14.3,2357,13.0,2.3,1.6,2203,7.5,53.6,23.26,32.8,11.0,2.4,4.5,290.0,7.9,290.0,1529,1514,20200508,202005,508,2020,5,8,Friday
2020-05-09,-0.8944000000000004,1.0,14.2,16.8,1623,12.7,338,4.1,24.4,4.7,948,0.0,0.0,3.0,94.4,76.0,3.6,5.9,90.0,11.0,90.0,333,615,20200509,202005,509,2020,5,9,Saturday
2020-05-10,0.0084,2.24,14.4,16.6,1405,12.8,138,3.8,1.3,0.7,230,0.4,2.8,6.77,88.6,78.0,2.5,4.1,250.0,7.1,250.0,1534,1556,20200510,202005,510,2020,5,10,Sunday
2020-05-11,0.12079999999999998,2.8,16.5,22.0,1414,12.4,2358,9.6,3.4,3.8,2323,7.2,51.1,22.98,61.0,27.0,3.0,5.6,290.0,10.1,250.0,1424,1456,20200511,202005,511,2020,5,11,Monday
2020-05-12,0.10519999999999997,2.68,14.3,18.9,1527,10.5,516,8.4,0.7,0.7,1,5.0,35.5,13.6,69.4,47.0,2.9,5.4,320.0,12.2,230.0,1641,1907,20200512,202005,512,2020,5,12,Tuesday
2020-05-13,0.2544000000000002,3.0,16.1,21.8,1420,10.2,607,11.6,0.0,0.0,0,13.0,92.2,29.7,47.3,24.0,2.8,6.5,290.0,12.1,290.0,1304,1613,20200513,202005,513,2020,5,13,Wednesday
2020-05-14,0.27879999999999994,3.0,19.3,25.4,1346,12.4,402,13.0,0.0,0.0,0,6.6,46.5,20.64,35.4,20.0,2.0,4.3,340.0,6.9,290.0,1352,1557,20200514,202005,514,2020,5,14,Thursday
2020-05-15,-0.7496,1.0,16.1,20.2,426,14.1,1052,6.1,12.0,2.1,838,0.0,0.0,3.43,81.4,34.0,3.0,5.3,180.0,13.2,160.0,425,432,20200515,202005,515,2020,5,15,Friday
2020-05-16,0.05400000000000001,2.04,16.7,20.3,1644,15.0,1,5.3,2.5,0.5,556,0.6,4.2,7.6,90.3,74.0,1.6,3.3,90.0,4.9,70.0,10,1,20200516,202005,516,2020,5,16,Saturday
2020-05-17,-0.23400000000000007,1.84,19.1,24.9,1640,14.6,537,10.3,0.0,0.0,0,3.9,27.3,15.26,80.1,58.0,1.7,4.3,320.0,7.7,340.0,448,456,20200517,202005,517,2020,5,17,Sunday
2020-05-18,-0.742,1.0,19.1,26.8,1429,13.2,2202,13.6,29.8,19.8,1553,3.2,22.4,14.07,79.4,46.0,2.4,7.2,290.0,16.4,290.0,1556,1607,20200518,202005,518,2020,5,18,Monday
2020-05-19,-0.9275999999999998,1.0,13.0,17.1,1605,10.1,2355,7.0,19.0,9.6,949,3.0,21.0,15.29,73.6,52.0,3.2,7.2,70.0,12.9,70.0,1503,1436,20200519,202005,519,2020,5,19,Tuesday
2020-05-20,-0.19120000000000004,2.0,14.4,20.1,1427,9.2,213,10.9,0.0,0.0,0,4.5,31.5,20.91,60.4,46.0,1.9,3.0,90.0,6.0,50.0,1207,2110,20200520,202005,520,2020,5,20,Wednesday
2020-05-21,0.42160000000000003,4.0,17.4,22.9,1630,10.9,519,12.0,0.0,0.0,0,9.4,65.3,24.35,56.1,40.0,2.1,3.3,90.0,6.1,90.0,539,609,20200521,202005,521,2020,5,21,Thursday
2020-05-22,0.2572,3.0,18.5,22.7,1541,14.8,541,7.9,0.0,0.0,0,0.7,4.9,13.07,68.5,55.0,1.9,4.9,290.0,8.0,160.0,950,1742,20200522,202005,522,2020,5,22,Friday
2020-05-23,0.26999999999999985,3.0,20.1,25.0,1530,16.6,545,8.4,0.0,0.0,0,6.8,47.2,23.24,66.1,44.0,2.2,4.7,270.0,8.3,290.0,1703,1703,20200523,202005,523,2020,5,23,Saturday
2020-05-24,-0.4484,1.0,17.1,20.2,1415,14.3,2319,5.9,14.5,9.9,544,1.1,7.6,10.59,84.8,70.0,2.9,6.5,270.0,12.8,270.0,728,727,20200524,202005,524,2020,5,24,Sunday
2020-05-25,0.24480000000000005,3.0,16.6,21.3,1513,13.7,2357,7.6,0.0,0.0,0,2.5,17.2,16.88,81.0,62.0,2.1,3.8,290.0,6.0,250.0,1424,1623,20200525,202005,525,2020,5,25,Monday
2020-05-26,-0.0924,2.0,16.2,22.9,1400,12.7,535,10.2,1.5,1.5,1955,4.8,33.1,18.49,81.9,47.0,2.1,5.4,320.0,8.8,320.0,1503,1511,20200526,202005,526,2020,5,26,Tuesday
2020-05-27,0.45680000000000015,4.0,17.4,23.9,1450,11.8,602,12.1,0.0,0.0,0,13.2,91.0,30.06,68.5,31.0,2.6,5.9,290.0,9.3,290.0,1623,1804,20200527,202005,527,2020,5,27,Wednesday
2020-05-28,-0.20360000000000003,2.0,18.7,23.4,1605,14.2,529,9.2,0.0,0.0,0,8.4,57.9,22.83,62.8,38.0,1.9,3.9,290.0,7.3,270.0,1332,1338,20200528,202005,528,2020,5,28,Thursday
2020-05-29,0.5752,4.0,20.7,27.6,1652,14.6,546,13.0,0.0,0.0,0,12.7,87.6,28.09,65.6,38.0,2.0,4.1,180.0,6.7,180.0,1449,1452,20200529,202005,529,2020,5,29,Friday
2020-05-30,0.44239999999999996,4.0,22.6,30.0,1601,16.5,530,13.5,0.0,0.0,0,11.3,77.4,26.5,57.3,29.0,1.9,4.3,320.0,7.0,340.0,1724,1725,20200530,202005,530,2020,5,30,Saturday
2020-05-31,0.4376000000000002,4.0,21.2,28.0,1332,17.6,523,10.4,1.0,1.0,2245,5.0,34.2,19.15,63.0,39.0,2.3,5.7,320.0,8.6,340.0,1857,1901,20200531,202005,531,2020,5,31,Sunday
2020-06-01,0.24679999999999996,3.0,19.7,24.5,1603,16.6,528,7.9,0.4,0.3,-2345,11.5,78.8,30.35,64.3,37.0,3.4,6.2,290.0,12.3,320.0,1205,1239,20200601,202006,601,2020,6,1,Monday
2020-06-02,-0.32279999999999986,1.0,17.9,21.8,1526,14.8,449,7.0,2.0,1.9,1055,0.2,1.4,5.89,71.0,43.0,2.2,4.1,250.0,9.1,160.0,1340,1629,20200602,202006,602,2020,6,2,Tuesday
2020-06-03,0.288,3.0,22.0,28.4,1516,17.6,546,10.8,0.0,0.0,0,9.5,65.1,24.64,73.3,47.0,2.4,5.6,290.0,8.8,290.0,1948,2005,20200603,202006,603,2020,6,3,Wednesday
2020-06-04,0.3291999999999999,3.0,21.9,26.5,1401,19.7,2358,6.8,0.2,0.1,0,4.7,32.2,19.77,81.1,57.0,2.7,4.7,270.0,7.7,250.0,1416,1429,20200604,202006,604,2020,6,4,Thursday
2020-06-05,0.3348,3.56,23.0,28.7,1529,18.4,443,10.3,0.0,0.0,0,8.8,59.9,23.36,69.4,45.0,1.8,3.8,290.0,6.7,320.0,1826,1845,20200605,202006,605,2020,6,5,Friday
2020-06-06,0.36999999999999994,4.0,24.6,30.9,1543,19.2,541,11.7,0.0,0.0,0,8.6,58.5,23.38,63.6,38.0,2.0,4.4,290.0,7.8,290.0,1646,1730,20200606,202006,606,2020,6,6,Saturday
2020-06-07,0.5336000000000002,4.0,22.7,29.2,1545,19.2,318,10.0,0.0,0.0,0,9.2,62.6,26.04,69.4,44.0,2.3,5.1,200.0,7.3,180.0,1105,1110,20200607,202006,607,2020,6,7,Sunday
2020-06-08,0.376,4.0,25.0,32.0,1529,19.8,101,12.2,0.0,0.0,0,11.3,76.9,26.13,63.6,40.0,2.1,5.5,290.0,8.8,290.0,1759,1824,20200608,202006,608,2020,6,8,Monday
2020-06-09,0.37160000000000004,3.96,26.7,32.8,1502,20.3,558,12.5,0.0,0.0,0,12.9,87.8,28.36,51.6,34.0,2.3,4.3,290.0,7.9,340.0,1622,1538,20200609,202006,609,2020,6,9,Tuesday
2020-06-10,0.06840000000000002,2.68,25.8,32.1,1356,22.5,548,9.6,6.2,2.9,2019,5.2,35.4,18.85,63.8,41.0,2.0,6.2,340.0,9.8,270.0,1755,1747,20200610,202006,610,2020,6,10,Wednesday
2020-06-15,0.44320000000000015,4.0,23.0,28.6,1500,18.2,548,10.4,0.0,0.0,0,10.1,68.2,26.53,62.3,31.0,2.8,6.3,290.0,13.4,250.0,1538,1616,20200615,202006,615,2020,6,15,Monday
2020-06-16,0.44599999999999995,4.0,24.4,30.7,1527,20.0,357,10.7,0.0,0.0,0,7.5,50.7,24.74,63.0,37.0,2.2,4.4,270.0,6.9,250.0,1652,1651,20200616,202006,616,2020,6,16,Tuesday
2020-06-17,0.3783999999999999,3.44,24.3,30.3,1455,20.2,533,10.1,0.0,0.0,0,5.9,39.9,21.25,58.6,37.0,2.0,4.3,290.0,7.9,230.0,1626,1644,20200617,202006,617,2020,6,17,Wednesday
2020-06-18,0.4295999999999999,3.84,23.4,27.3,1551,20.3,541,7.0,0.0,0.0,0,0.1,0.7,11.0,61.4,47.0,1.6,3.4,290.0,5.6,290.0,1840,1845,20200618,202006,618,2020,6,18,Thursday
2020-06-19,-0.2636000000000001,1.52,24.7,30.0,1448,21.1,658,8.9,0.1,0.1,0,6.0,40.5,19.6,61.4,45.0,2.1,4.2,290.0,7.1,50.0,56,1901,20200619,202006,619,2020,6,19,Friday
2020-06-20,0.20199999999999993,2.76,24.9,29.7,1254,20.7,503,9.0,0.0,0.0,0,11.7,79.1,24.75,62.6,48.0,2.1,4.6,320.0,7.9,270.0,1542,1616,20200620,202006,620,2020,6,20,Saturday
2020-06-21,0.29760000000000014,3.2,26.1,32.7,1450,19.5,544,13.2,0.0,0.0,0,13.5,91.2,27.82,59.5,39.0,2.0,4.5,290.0,8.4,290.0,1515,1518,20200621,202006,621,2020,6,21,Sunday
2020-06-22,0.1144,2.68,28.6,35.4,1509,21.7,522,13.7,0.0,0.0,0,13.3,89.9,28.95,50.5,26.0,2.0,4.1,290.0,6.7,290.0,1700,1807,20200622,202006,622,2020,6,22,Monday
2020-06-23,0.24760000000000004,3.0,27.3,31.0,1405,23.2,610,7.8,0.0,0.0,0,5.1,34.5,16.97,53.5,42.0,1.9,3.7,250.0,5.7,250.0,1428,1430,20200623,202006,623,2020,6,23,Tuesday
2020-06-24,-0.6700000000000002,1.0,22.3,26.3,1,19.9,1250,6.4,37.6,8.5,1105,0.0,0.0,2.91,83.5,55.0,2.7,5.7,140.0,10.0,110.0,702,1005,20200624,202006,624,2020,6,24,Wednesday
2020-06-25,-0.16480000000000003,2.0,21.6,23.4,1527,20.1,2331,3.3,13.3,3.5,120,0.1,0.7,6.11,91.0,79.0,2.2,4.3,180.0,7.1,180.0,1510,2126,20200625,202006,625,2020,6,25,Thursday
2020-06-26,0.08800000000000004,2.0,21.8,25.7,1529,19.2,338,6.5,2.1,0.9,-2331,3.1,20.9,13.03,82.1,63.0,3.2,5.3,230.0,9.5,200.0,315,323,20200626,202006,626,2020,6,26,Friday
2020-06-27,0.2280000000000001,3.0,24.1,29.6,1525,20.4,524,9.2,0.0,0.0,0,7.4,50.0,22.18,70.4,52.0,2.0,5.4,290.0,8.3,250.0,1642,1759,20200627,202006,627,2020,6,27,Saturday
2020-06-28,0.33599999999999985,3.16,25.2,30.1,1507,21.5,554,8.6,0.0,0.0,0,12.4,83.8,28.6,70.5,49.0,2.4,4.7,250.0,7.7,270.0,1641,1646,20200628,202006,628,2020,6,28,Sunday
2020-06-29,-0.5192,1.0,23.8,26.5,1059,20.6,2357,5.9,11.9,9.6,2331,1.7,11.6,8.4,77.0,64.0,2.4,5.9,50.0,9.9,50.0,2257,2337,20200629,202006,629,2020,6,29,Monday
2020-06-30,-0.7156000000000001,1.0,20.1,23.1,1450,18.4,507,4.7,64.7,15.9,330,0.0,0.0,6.2,83.0,63.0,4.0,7.6,50.0,14.5,50.0,220,232,20200630,202006,630,2020,6,30,Tuesday
2020-07-01,-0.12400000000000005,2.0,21.1,24.3,1642,18.1,447,6.2,0.0,0.0,0,0.2,1.4,9.47,79.3,67.0,1.9,3.7,320.0,6.1,320.0,10,26,20200701,202007,701,2020,7,1,Wednesday
2020-07-02,0.026399999999999983,2.32,24.2,29.8,1635,20.4,114,9.4,0.0,0.0,0,5.4,36.7,19.15,74.5,51.0,1.9,3.4,270.0,5.4,230.0,2110,1802,20200702,202007,702,2020,7,2,Thursday
2020-07-03,0.2144,3.0,25.5,30.6,1508,21.6,2400,9.0,0.1,0.5,2330,9.6,65.3,27.47,63.5,34.0,2.6,6.1,160.0,10.5,140.0,1446,1527,20200703,202007,703,2020,7,3,Friday
2020-07-04,0.39879999999999993,3.76,24.2,29.5,1451,20.4,542,9.1,1.6,0.9,36,9.5,64.6,26.88,63.9,39.0,2.1,4.4,250.0,7.4,270.0,1648,1632,20200704,202007,704,2020,7,4,Saturday
2020-07-05,0.22759999999999997,3.0,23.8,27.6,1313,19.9,521,7.7,0.0,0.0,0,6.4,43.5,20.85,68.6,52.0,1.9,3.5,250.0,5.5,270.0,1335,1731,20200705,202007,705,2020,7,5,Sunday
2020-07-06,-0.03960000000000001,2.24,25.6,30.9,1605,21.8,554,9.1,0.0,0.0,0,5.0,34.0,19.28,66.6,46.0,2.1,4.7,320.0,7.7,340.0,1711,1711,20200706,202007,706,2020,7,6,Monday
2020-07-07,-0.20960000000000004,1.56,24.1,28.1,1647,22.1,659,6.0,0.0,0.0,0,4.0,27.4,15.15,75.5,59.0,2.5,4.0,290.0,6.6,320.0,2206,1553,20200707,202007,707,2020,7,7,Tuesday
2020-07-08,0.2328,3.08,25.5,30.4,1602,21.3,536,9.1,0.0,0.0,0,10.0,68.5,25.81,71.9,52.0,2.0,3.7,290.0,6.4,250.0,1356,1439,20200708,202007,708,2020,7,8,Wednesday
2020-07-09,-0.05440000000000001,2.0,27.5,32.9,1449,21.8,526,11.1,0.0,0.0,0,7.7,52.7,23.1,64.6,38.0,1.7,3.6,320.0,6.3,160.0,1247,1923,20200709,202007,709,2020,7,9,Thursday
2020-07-10,-0.4504000000000001,1.0,24.5,27.7,1,22.7,2344,5.0,2.2,1.9,800,3.1,21.2,12.3,75.0,60.0,2.8,6.6,50.0,11.3,20.0,1609,1555,20200710,202007,710,2020,7,10,Friday
2020-07-11,-0.10760000000000002,2.0,25.8,30.2,1406,22.2,432,8.0,0.0,0.0,0,6.6,45.2,21.82,62.6,49.0,2.6,5.0,50.0,10.0,20.0,1257,2043,20200711,202007,711,2020,7,11,Saturday
2020-07-12,0.03440000000000001,2.08,23.5,26.0,1235,21.7,2319,4.3,2.9,0.9,1644,0.0,0.0,7.67,71.9,58.0,2.4,3.6,50.0,7.5,70.0,2358,2233,20200712,202007,712,2020,7,12,Sunday
2020-07-13,-0.6587999999999999,1.0,18.7,21.7,1,17.7,615,4.0,47.6,6.2,2215,0.0,0.0,4.58,94.8,86.0,4.0,5.9,50.0,11.0,50.0,2100,2121,20200713,202007,713,2020,7,13,Monday
2020-07-14,-0.13360000000000002,2.0,20.3,24.3,1533,17.2,416,7.1,11.5,5.9,-2331,0.1,0.7,12.46,79.4,62.0,2.8,4.4,50.0,8.6,50.0,220,1347,20200714,202007,714,2020,7,14,Tuesday
2020-07-15,0.27240000000000014,3.0,23.4,28.7,1703,18.9,547,9.8,0.0,0.0,0,9.3,64.1,26.6,63.1,40.0,2.0,3.4,50.0,6.8,50.0,1514,1336,20200715,202007,715,2020,7,15,Wednesday
2020-07-16,0.3204000000000001,3.28,25.0,29.7,1514,20.4,454,9.3,0.0,0.0,0,10.2,70.3,25.76,70.9,55.0,1.8,3.5,270.0,6.2,250.0,1801,1543,20200716,202007,716,2020,7,16,Thursday
2020-07-17,-0.45520000000000005,1.0,26.0,31.6,1433,21.5,544,10.1,0.0,0.0,0,7.5,51.7,22.28,72.0,52.0,1.9,5.6,270.0,9.6,250.0,1604,1619,20200717,202007,717,2020,7,17,Friday
2020-07-18,0.13839999999999997,2.76,26.1,31.0,1539,22.8,529,8.2,0.0,0.0,0,4.3,29.7,15.49,71.6,54.0,1.6,4.0,290.0,6.4,320.0,1653,1657,20200718,202007,718,2020,7,18,Saturday
2020-07-19,-0.6656000000000002,1.0,24.0,26.6,2201,20.6,904,6.0,29.1,19.3,820,0.0,0.0,4.92,81.6,62.0,2.7,4.3,50.0,8.4,110.0,2148,1033,20200719,202007,719,2020,7,19,Sunday
2020-07-20,-0.6056,1.0,23.8,26.6,212,22.4,2217,4.2,3.6,1.3,231,0.0,0.0,5.15,86.3,77.0,3.7,7.0,200.0,13.4,180.0,601,610,20200720,202007,720,2020,7,20,Monday
2020-07-21,-0.13519999999999996,1.92,25.0,30.5,1533,21.4,611,9.1,0.0,0.0,0,4.0,27.8,17.83,77.0,51.0,1.6,4.2,250.0,6.6,250.0,1723,1729,20200721,202007,721,2020,7,21,Tuesday
2020-07-22,-0.36039999999999994,1.04,23.7,25.7,1501,22.6,2222,3.1,11.5,6.2,758,0.0,0.0,4.5,89.3,81.0,1.6,3.4,140.0,5.6,160.0,1655,1633,20200722,202007,722,2020,7,22,Wednesday
2020-07-23,-0.6748000000000001,1.0,21.1,22.6,1,18.5,2319,4.1,103.1,18.5,1717,0.0,0.0,2.72,95.5,89.0,3.6,8.3,50.0,14.9,70.0,2021,1954,20200723,202007,723,2020,7,23,Thursday
2020-07-24,-0.7300000000000003,1.0,22.5,26.8,1625,18.7,1,8.1,2.9,2.3,855,1.0,7.0,10.46,74.3,61.0,4.6,8.7,50.0,16.1,50.0,109,109,20200724,202007,724,2020,7,24,Friday
2020-07-25,-0.27560000000000007,1.48,24.3,29.0,1555,22.3,235,6.7,0.0,0.0,0,1.9,13.3,15.59,69.3,56.0,3.1,6.1,50.0,11.3,50.0,1437,1428,20200725,202007,725,2020,7,25,Saturday
2020-07-26,-0.4224,1.0,25.4,29.6,1614,21.6,549,8.0,0.0,0.0,0,5.6,39.2,18.14,69.3,56.0,2.0,3.3,50.0,5.9,20.0,53,952,20200726,202007,726,2020,7,26,Sunday
2020-07-27,-0.5088000000000003,1.0,24.3,25.5,1540,22.9,611,2.6,2.2,0.6,306,0.0,0.0,7.72,86.4,80.0,2.2,3.2,50.0,5.7,20.0,1243,1656,20200727,202007,727,2020,7,27,Monday
2020-07-28,-0.3131999999999999,1.0,24.4,26.4,1447,22.7,548,3.7,0.4,0.3,1614,0.0,0.0,8.38,84.8,71.0,2.0,3.1,50.0,5.4,70.0,1219,1256,20200728,202007,728,2020,7,28,Tuesday
2020-07-29,-0.6796,1.0,23.7,24.9,1746,22.6,925,2.3,50.1,27.1,902,0.0,0.0,3.18,95.8,89.0,2.0,3.4,70.0,6.7,50.0,524,524,20200729,202007,729,2020,7,29,Wednesday
2020-07-30,-0.8116000000000001,1.0,25.3,28.4,1439,23.4,2324,5.0,0.1,0.1,0,3.0,21.3,15.34,85.5,68.0,2.1,3.8,200.0,7.7,180.0,1351,1342,20200730,202007,730,2020,7,30,Thursday
2020-07-31,-0.634,1.16,26.2,29.6,1319,22.8,635,6.8,1.5,1.2,2305,5.0,35.5,14.5,81.9,69.0,2.0,4.6,290.0,8.2,320.0,2341,2348,20200731,202007,731,2020,7,31,Friday
2020-08-01,-0.6320000000000001,1.0,25.3,26.9,1113,24.3,546,2.6,39.1,23.6,1222,0.0,0.0,5.31,90.9,82.0,1.7,4.9,180.0,9.0,180.0,1952,1948,20200801,202008,801,2020,8,1,Saturday
