date,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 해면기압(hPa),5.0cm 지중온도(°C),최저 초상온도(°C),1시간 최다 일사량(MJ/m2),9-9강수(mm),최대 풍속(m/s),최저 기온(°C),평균 30cm 지중온도(°C),평균 5cm 지중온도(°C),target,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201106,26.576666666666664,46.23333333333333,21.97666666666667,66.56,20.225,2.923333333333334,5.6933333333333325,1006.5333333333336,13.466666666666667,15.436666666666667,2.269666666666666,20.21052631578948,6.166666666666669,18.383333333333333,23.33666666666668,24.34,178302,0,0,1,0,0,0,1,0
201107,27.996774193548394,62.41935483870968,24.638709677419357,78.78709677419354,49.17391304347826,2.419354838709677,2.593548387096774,1005.6645161290324,16.038709677419348,21.50967741935484,1.7670967741935486,45.26,5.219354838709679,21.974193548387085,25.49677419354839,26.045161290322586,34784,0,0,0,1,0,0,0,1
201108,29.451612903225808,56.29032258064516,25.77419354838709,74.33548387096774,8.34,2.52258064516129,3.032258064516129,1008.283870967742,17.638709677419357,21.412903225806453,1.9512903225806448,8.75263157894737,5.193548387096773,22.967741935483875,26.50967741935484,26.85806451612904,79331,0,0,0,1,0,0,0,1
201206,29.71666666666666,33.0,24.139999999999993,54.08666666666666,15.316666666666668,2.8,7.733333333333332,1007.0,13.830000000000002,17.213333333333328,2.489333333333333,15.316666666666668,5.836666666666668,19.956666666666667,27.04333333333333,28.45000000000001,139584,0,0,0,1,0,0,0,1
201207,29.02580645161291,55.935483870967744,25.41290322580645,73.83225806451615,21.37619047619048,2.729032258064516,4.645161290322581,1005.6354838709675,15.50666666666667,20.81612903225807,1.8319354838709672,22.445,5.429032258064513,22.387096774193548,26.15806451612903,26.65483870967741,103733,0,0,0,1,0,0,0,1
201208,30.851612903225806,51.0,27.13225806451612,67.95483870967742,25.827777777777786,2.967741935483871,5.119354838709677,1008.2193548387096,17.241935483870968,22.26774193548388,1.8070967741935489,24.46842105263158,6.054838709677418,23.91290322580645,27.903225806451612,28.209677419354843,156966,0,0,0,1,0,0,0,1
201306,29.236666666666668,39.7,24.41000000000001,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,1007.68,13.186666666666667,17.256666666666668,2.3363333333333336,2.83,4.9300000000000015,20.46,24.55,27.03666666666668,67218,0,0,0,1,0,0,0,1
201307,28.33548387096775,63.54838709677418,25.519354838709678,79.25483870967744,26.00769230769231,3.3516129032258064,3.258064516129032,1005.006451612903,14.999999999999995,22.445161290322584,1.3993548387096777,29.4,6.790322580645161,23.42580645161291,25.419354838709673,26.393548387096786,144185,0,0,0,1,0,0,0,1
201308,31.08709677419354,48.935483870967744,27.69677419354839,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,1006.4548387096772,16.474193548387095,22.54193548387097,2.053225806451613,8.255555555555555,5.564516129032258,24.838709677419356,27.74516129032257,28.69677419354839,284597,0,0,0,1,0,0,0,1
201406,27.770000000000003,49.06666666666667,23.06333333333333,72.80666666666666,7.007142857142857,2.603333333333333,6.163333333333332,1006.1766666666664,14.033333333333333,17.39,2.3063333333333342,7.546153846153848,5.553333333333336,19.713333333333328,23.041379310344826,25.196666666666665,61899,0,0,0,1,0,0,0,1
201407,30.63548387096775,50.58064516129032,26.1483870967742,74.23548387096773,17.325,2.75483870967742,5.570967741935487,1006.8548387096776,14.99677419354839,20.74838709677419,2.173,15.992307692307696,5.587096774193548,22.925806451612893,25.30322580645161,28.083870967741948,78724,0,0,0,1,0,0,0,1
201408,28.951612903225808,57.225806451612904,25.164516129032265,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,1007.9806451612902,16.464516129032262,20.04516129032257,1.8141935483870963,8.639999999999999,4.903225806451613,22.116129032258065,24.65483870967741,26.20967741935484,47471,0,0,0,1,0,0,0,1
201506,29.46333333333333,35.4,23.586666666666666,59.80999999999998,8.25,2.546666666666667,8.603333333333332,1006.6933333333333,13.96,16.246666666666666,2.4100000000000006,8.291666666666666,5.8,18.926666666666673,23.246666666666666,26.126666666666665,30575,0,0,0,1,0,0,0,1
201507,30.02580645161289,50.38709677419354,25.83548387096775,71.15483870967742,14.125,2.841935483870968,5.680645161290323,1006.4774193548387,14.906666666666665,20.837931034482764,2.0612903225806454,13.264705882352946,5.567741935483871,22.612903225806452,25.12068965517241,27.32758620689655,42171,0,0,0,1,0,0,0,1
201508,30.78709677419355,45.96774193548386,26.26774193548387,69.7741935483871,4.288235294117648,2.396774193548388,6.677419354838711,1008.2129032258064,15.638709677419355,20.11290322580645,2.0812903225806454,4.050000000000002,5.348387096774194,22.809677419354838,25.638709677419357,26.99032258064516,105943,0,0,0,1,0,0,0,1
201606,28.680000000000003,41.1,23.59666666666667,62.86666666666665,4.533333333333334,2.13,7.656666666666667,1007.3933333333333,13.63333333333333,16.463333333333335,2.373666666666668,4.215384615384616,4.8966666666666665,19.463333333333328,22.95,25.63333333333333,112785,0,0,0,1,0,0,0,1
201607,29.822580645161292,54.064516129032256,26.235483870967744,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,1007.5064516129033,14.829032258064515,21.22903225806452,1.8761290322580648,19.87777777777778,4.390322580645162,23.28709677419355,24.70967741935484,26.92580645161291,110604,0,0,0,1,0,0,0,1
201608,32.635483870967754,41.67741935483871,27.99677419354839,63.883870967741935,4.19375,2.0580645161290323,7.616129032258066,1005.5612903225806,16.00967741935484,22.296774193548387,2.1951612903225803,4.792857142857144,4.635483870967742,24.451612903225804,27.1483870967742,29.241935483870964,162446,0,0,0,1,0,0,0,1
201706,28.75,33.46666666666667,23.27333333333333,56.60333333333333,5.123076923076923,2.373333333333333,9.506666666666666,1008.1800000000003,13.71,15.773333333333332,2.737333333333333,5.55,5.1366666666666685,18.70666666666667,23.36333333333333,25.63666666666667,155405,0,0,0,1,0,0,0,1
201707,30.393548387096768,59.67741935483871,26.92258064516129,77.1774193548387,27.0,2.0,3.9709677419354836,1007.2032258064515,15.248387096774195,23.14193548387097,1.7806451612903231,27.08695652173913,4.493548387096773,24.309677419354838,26.480645161290322,27.6483870967742,191982,0,0,0,1,0,0,0,1
201708,29.654838709677428,50.838709677419345,25.916129032258066,70.81935483870967,15.63157894736842,2.2548387096774194,5.361290322580646,1007.3806451612904,16.76451612903226,21.24838709677419,1.9396774193548403,14.75,4.54516129032258,22.893548387096768,26.638709677419357,26.94838709677419,168860,0,0,0,1,0,0,0,1
201806,28.37,39.53333333333333,23.13666666666667,63.03333333333331,14.291666666666664,1.6799999999999995,7.886666666666668,1007.6033333333332,13.473333333333334,15.2,2.8003333333333336,17.5,4.046666666666668,18.866666666666667,23.32,25.36666666666667,135666,0,0,0,1,0,0,0,1
201807,32.13225806451613,49.29032258064516,27.796774193548387,67.45161290322578,18.56,1.4612903225806453,7.616666666666667,1008.5129032258066,14.758064516129036,21.413333333333334,2.410967741935483,15.175,3.3032258064516133,24.21290322580645,26.54333333333334,28.66333333333333,137954,0,0,0,1,0,0,0,1
201808,33.303225806451614,45.161290322580655,28.761290322580656,64.71935483870966,12.6625,1.6903225806451612,7.5,1006.9548387096772,15.887096774193553,22.25483870967742,2.451290322580645,12.6625,4.006451612903225,25.203225806451613,28.69,30.20333333333333,159112,0,0,0,1,0,0,0,1
201906,27.706666666666663,38.63333333333333,22.50333333333333,60.60666666666666,5.285714285714287,1.7366666666666668,7.836666666666668,1007.0,13.269999999999998,14.240000000000002,2.668333333333333,6.166666666666668,4.003333333333333,18.06,22.44,24.41666666666667,142873,0,0,1,0,0,0,1,0
201907,30.08709677419355,50.03225806451614,25.87741935483871,69.09354838709676,10.23157894736842,1.8290322580645169,4.841935483870966,1005.8774193548387,14.174193548387096,20.24838709677419,2.121612903225807,11.610526315789473,3.9483870967741934,22.683870967741928,25.193548387096786,26.954838709677425,319251,0,0,0,1,0,0,0,1
201908,31.635483870967736,44.645161290322584,27.190322580645162,68.51612903225805,12.7,1.5903225806451615,7.976666666666664,1006.551612903226,15.316129032258065,20.964516129032265,2.416,9.66470588235294,3.819354838709678,23.59032258064517,27.041935483870965,27.951612903225808,273904,0,0,0,1,0,0,0,1
